 Optimized Parameter
a1 = ,       0.480763
a2 = ,       0.190212
a3 = ,       0.049754
b1 = ,       0.470634
b2 = ,       0.098872
z1 = ,      62.049423
z2 = ,      18.133139
s1 = ,      13.415628
s2 = ,       0.975866
s3 = ,       2.358153
Er = ,       0.000099
=============================
Event Number,  1
NS = ,       1.000000

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s),t1(m3/s),t2(m3/s),t3(m3/s)
2100042904,   0.07760,   6.76590,   6.76588,   0.09264,   1.11344,   3.47162
2100042905,   0.07420,   6.64753,   6.64750,   0.08832,   1.07411,   3.41088
2100042906,   0.07120,   6.52721,   6.52719,   0.08445,   1.03557,   3.34914
2100042907,   0.06840,   6.40525,   6.40523,   0.08091,   0.99800,   3.28656
2100042908,   0.06600,   6.28197,   6.28194,   0.07777,   0.96163,   3.22331
2100042909,   0.06370,   6.15769,   6.15766,   0.07489,   0.92655,   3.15954
2100042910,   0.06170,   6.03275,   6.03272,   0.07231,   0.89287,   3.09543
2100042911,   0.06060,   5.90754,   5.90751,   0.07036,   0.86096,   3.03118
2100042912,   0.10990,   5.78680,   5.78677,   0.09542,   0.85228,   2.96923
2100042913,   0.28110,   5.68739,   5.68736,   0.19932,   0.92770,   2.91822
2100042914,   0.44210,   5.62956,   5.62953,   0.33954,   1.10800,   2.88855
2100042915,   0.55050,   5.62904,   5.62902,   0.47116,   1.37592,   2.88829
2100042916,   0.52840,   5.68705,   5.68703,   0.52913,   1.66379,   2.91805
2100042917,   0.52050,   5.79919,   5.79918,   0.55564,   1.94444,   2.97560
2100042918,   0.47710,   5.95569,   5.95568,   0.54670,   2.19018,   3.05590
2100042919,   0.43790,   6.14525,   6.14525,   0.52121,   2.39120,   3.15317
2100042920,   0.40270,   6.35695,   6.35696,   0.48909,   2.54661,   3.26180
2100042921,   0.37090,   6.58107,   6.58108,   0.45525,   2.65955,   3.37680
2100042922,   0.34210,   6.80932,   6.80934,   0.42209,   2.73475,   3.49392
2100042923,   0.31610,   7.03489,   7.03491,   0.39077,   2.77743,   3.60966
2100042924,   0.29250,   7.25232,   7.25234,   0.36170,   2.79260,   3.72122
2100043001,   0.27550,   7.45773,   7.45775,   0.33731,   2.78673,   3.82662
2100043002,   0.25510,   7.64799,   7.64802,   0.31360,   2.76244,   3.92425
2100043003,   0.23670,   7.82071,   7.82074,   0.29131,   2.72270,   4.01287
2100043004,   0.22000,   7.97420,   7.97423,   0.27067,   2.67035,   4.09163
2100043005,   0.20480,   8.10738,   8.10741,   0.25170,   2.60798,   4.15997
2100043006,   0.19090,   8.21968,   8.21971,   0.23430,   2.53783,   4.21759
2100043007,   0.17840,   8.31098,   8.31100,   0.21847,   2.46193,   4.26443
2100043008,   0.16690,   8.38148,   8.38150,   0.20400,   2.38195,   4.30060
2100043009,   0.15730,   8.43175,   8.43177,   0.19126,   2.29967,   4.32640
2100043010,   0.20100,   8.46712,   8.46714,   0.20765,   2.23866,   4.34455
2100043011,   0.36670,   8.50526,   8.50528,   0.30404,   2.26090,   4.36411
2100043012,   0.55620,   8.57020,   8.57022,   0.45538,   2.40219,   4.39744
2100043013,   0.73310,   8.68607,   8.68609,   0.62914,   2.66872,   4.45689
2100043014,   0.87300,   8.87201,   8.87203,   0.79518,   3.04192,   4.55230
2100043015,   0.92040,   9.13542,   9.13544,   0.90817,   3.46874,   4.68746
2100043016,   0.90870,   9.47260,   9.47263,   0.96179,   3.89632,   4.86047
2100043017,   0.87160,   9.87272,   9.87277,   0.97054,   4.28863,   5.06578
2100043018,   0.79900,  10.31927,  10.31932,   0.93673,   4.61507,   5.29491
2100043019,   0.73180,  10.79467,  10.79472,   0.88326,   4.86640,   5.53884
2100043020,   0.67120,  11.28260,  11.28266,   0.82288,   5.04450,   5.78921
2100043021,   0.61640,  11.76894,  11.76901,   0.76191,   5.15614,   6.03876
2100043022,   0.56680,  12.24200,  12.24207,   0.70337,   5.20985,   6.28149
2100043023,   0.52190,  12.69245,  12.69252,   0.64862,   5.21439,   6.51262
2100043024,   0.48110,  13.11308,  13.11315,   0.59803,   5.17795,   6.72845
2100050101,   0.45430,  13.49944,  13.49952,   0.55707,   5.11229,   6.92669
2100050102,   0.41830,  13.84793,  13.84800,   0.51633,   5.02049,   7.10550
2100050103,   0.38570,  14.15595,  14.15602,   0.47750,   4.90665,   7.26355
2100050104,   0.35610,  14.42190,  14.42197,   0.44128,   4.77506,   7.40001
2100050105,   0.32930,  14.64510,  14.64517,   0.40792,   4.62975,   7.51453
2100050106,   0.30500,  14.82561,  14.82568,   0.37740,   4.47435,   7.60715
2100050107,   0.28280,  14.96415,  14.96421,   0.34949,   4.31195,   7.67824
2100050108,   0.26270,  15.06192,  15.06198,   0.32407,   4.14525,   7.72840
2100050109,   0.24680,  15.12075,  15.12080,   0.30220,   3.97751,   7.75858
2100050110,   0.26630,  15.14573,  15.14578,   0.30094,   3.82535,   7.77140
2100050111,   0.36220,  15.14976,  15.14980,   0.35105,   3.72837,   7.77346
2100050112,   0.49740,  15.15180,  15.15184,   0.44914,   3.71957,   7.77451
2100050113,   0.64920,  15.17366,  15.17370,   0.58142,   3.81761,   7.78573
2100050114,   0.77920,  15.23499,  15.23503,   0.72027,   4.01720,   7.81719
2100050115,   0.84270,  15.34725,  15.34729,   0.82738,   4.28287,   7.87479
2100050116,   0.83570,  15.51120,  15.51123,   0.88038,   4.56473,   7.95892
2100050117,   0.80760,  15.72074,  15.72078,   0.89356,   4.82929,   8.06643
2100050118,   0.74420,  15.96397,  15.96401,   0.86697,   5.04638,   8.19124
2100050119,   0.68100,  16.22711,  16.22716,   0.81945,   5.20394,   8.32626
2100050120,   0.62240,  16.49686,  16.49691,   0.76326,   5.30090,   8.46467
2100050121,   0.56970,  16.76157,  16.76162,   0.70563,   5.34211,   8.60050
2100050122,   0.52230,  17.01160,  17.01165,   0.65002,   5.33469,   8.72879
2100050123,   0.47970,  17.23936,  17.23942,   0.59804,   5.28636,   8.84566
2100050124,   0.44120,  17.43916,  17.43921,   0.55014,   5.20443,   8.94817
2100050201,   0.63100,  17.62623,  17.62628,   0.62525,   5.19078,   9.04416
2100050202,   0.79930,  17.82248,  17.82253,   0.75411,   5.28171,   9.14485
2100050203,   0.51370,  18.01210,  18.01215,   0.67114,   5.29718,   9.24215
2100050204,   0.32990,  18.17213,  18.17218,   0.52991,   5.19798,   9.32426
2100050205,   0.30400,  18.29164,  18.29168,   0.44145,   5.03771,   9.38558
2100050206,   0.28060,  18.36622,  18.36626,   0.38223,   4.84585,   9.42385
2100050207,   0.25940,  18.39502,  18.39506,   0.33966,   4.63885,   9.43863
2100050208,   0.25200,  18.38018,  18.38021,   0.31320,   4.43112,   9.43101
2100050209,   0.36840,  18.33580,  18.33583,   0.36082,   4.28208,   9.40823
2100050210,   0.60310,  18.29066,  18.29069,   0.51027,   4.26750,   9.38507
2100050211,   0.71980,  18.26803,  18.26806,   0.65116,   4.36724,   9.37346
2100050212,   0.86790,  18.28970,  18.28972,   0.80414,   4.57967,   9.38458
2100050213,   1.02720,  18.37609,  18.37612,   0.96945,   4.90355,   9.42891
2100050214,   1.18800,  18.54559,  18.54562,   1.14208,   5.33370,   9.51588
2100050215,   1.29070,  18.80914,  18.80918,   1.28783,   5.83810,   9.65111
2100050216,   1.32900,  19.16780,  19.16784,   1.38526,   6.37068,   9.83514
2100050217,   1.26810,  19.60928,  19.60932,   1.40460,   6.86609,  10.06167
2100050218,   1.17190,  20.11288,  20.11293,   1.36391,   7.27993,  10.32008
2100050219,   1.06410,  20.65440,  20.65446,   1.28531,   7.58987,  10.59794
2100050220,   0.96540,  21.21045,  21.21052,   1.19145,   7.79398,  10.88326
2100050221,   0.87700,  21.76051,  21.76059,   1.09497,   7.90061,  11.16550
2100050222,   0.80230,  22.28797,  22.28805,   1.00435,   7.92410,  11.43615
2100050223,   1.74250,  22.86670,  22.86679,   1.45409,   8.30557,  11.73310
2100050224,   1.68230,  23.52005,  23.52015,   1.66030,   8.81453,  12.06834
2100050301,   0.68240,  24.16570,  24.16580,   1.24015,   8.93657,  12.39963
2100050302,   3.61120,  25.01774,  25.01786,   2.56814,  10.11046,  12.83683
2100050303,   7.54770,  26.49599,  26.49614,   5.35498,  13.40096,  13.59534
2100050304,   5.52250,  31.30979,  31.30997,   5.75817,  16.61551,  14.65895
2100050305,   9.40260,  71.26854,  71.26932,   8.02560,  20.33389,  16.16104
2100050306,   5.25740,  94.63891,  94.63972,   7.03157,  22.34908,  17.85472
2100050307,   4.49090, 106.39447, 106.39504,   6.09961,  23.19267,  19.57562
2100050308,   5.50800, 115.99986, 116.00026,   6.14468,  23.82087,  21.29392
2100050309,   2.56460, 113.83781, 113.83785,   4.61040,  23.29775,  22.85759
2100050310,   3.66280, 111.44363, 111.44347,   4.37955,  22.77995,  24.27504
2100050311,   2.77060, 106.46902, 106.46866,   3.78505,  22.03608,  25.52365
2100050312,   2.86060, 101.65408, 101.65363,   3.51798,  21.33846,  26.61794
2100050313,   1.92510,  94.50304,  94.50247,   2.88138,  20.44016,  27.53908
2100050314,   3.94830,  94.42404,  94.42361,   3.61540,  20.26546,  28.39129
2100050315,   6.97680, 107.59460, 107.59453,   5.60716,  21.40014,  29.35107
2100050316,   4.01110, 114.28412, 114.28415,   5.09158,  21.88094,  30.32663
2100050317,   2.03150, 111.05380, 111.05366,   3.77072,  21.38791,  31.18849
2100050318,   1.98500, 104.39502, 104.39468,   3.04688,  20.57991,  31.90069
2100050319,   1.73490,  96.51621,  96.51573,   2.53131,  19.67963,  32.45847
2100050320,   1.57210,  88.69147,  88.69092,   2.17221,  18.81264,  32.87393
2100050321,   2.04990,  83.56941,  83.56888,   2.23504,  18.23599,  33.19250
2100050322,   2.28730,  80.99732,  80.99686,   2.39398,  17.92649,  33.45433
2100050323,   1.68260,  77.71048,  77.71004,   2.15800,  17.55732,  33.65434
2100050324,   1.51570,  74.02235,  74.02193,   1.94473,  17.16008,  33.79190
2100050401,   0.85440,  68.40234,  68.40189,   1.48177,  16.58506,  33.84663
2100050402,   0.89210,  65.92306,  65.92354,   1.25664,  15.95203,  33.82580
2100050403,   0.41900,  65.70842,  65.70889,   0.88703,  15.08547,  33.71566
2100050404,   0.72710,  65.34050,  65.34094,   0.85447,  14.27850,  33.52687
2100050405,   0.34950,  64.80777,  64.80820,   0.63734,  13.37737,  33.25352
2100050406,   0.33060,  64.11621,  64.11663,   0.51239,  12.46523,  32.89866
2100050407,   0.33230,  63.28143,  63.28181,   0.44715,  11.59101,  32.47032
2100050408,   1.14270,  62.39232,  62.39268,   0.84161,  11.11924,  32.01410
2100050409,   0.39260,  61.43042,  61.43076,   0.65335,  10.54330,  31.52053
2100050410,   0.48220,  60.40242,  60.40273,   0.60112,   9.98245,  30.99304
2100050411,   0.65300,  59.33310,  59.33337,   0.66389,   9.52735,  30.44435
2100050412,   0.78110,  58.25009,  58.25034,   0.76493,   9.19819,  29.88863
2100050413,   0.85590,  57.17585,  57.17607,   0.85801,   8.97614,  29.33742
2100050414,   0.95770,  56.13118,  56.13139,   0.96118,   8.85870,  28.80139
2100050415,   0.95690,  55.12582,  55.12600,   1.01537,   8.79629,  28.28552
2100050416,   0.93190,  54.16156,  54.16172,   1.03082,   8.75242,  27.79074
2100050417,   0.83640,  53.23035,  53.23050,   0.98844,   8.67895,  27.31292
2100050418,   0.74850,  52.32078,  52.32092,   0.91948,   8.55748,  26.84621
2100050419,   0.66940,  51.42147,  51.42159,   0.84110,   8.38524,  26.38476
2100050420,   0.60180,  50.52279,  50.52289,   0.76382,   8.16811,  25.92363
2100050421,   0.54260,  49.61730,  49.61739,   0.69158,   7.91457,  25.45901
2100050422,   0.49040,  48.69971,  48.69979,   0.62570,   7.63332,  24.98818
2100050423,   0.44460,  47.76667,  47.76672,   0.56658,   7.33252,  24.50942
2100050424,   0.40430,  46.81639,  46.81643,   0.51395,   7.01929,  24.02182
2100050501,   0.38240,  45.84962,  45.84964,   0.47450,   6.70543,  23.52576
2100050502,   0.34710,  44.86703,  44.86705,   0.43493,   6.39089,  23.02158
2100050503,   0.31590,  43.86964,  43.86966,   0.39746,   6.07744,  22.50981
2100050504,   0.28830,  42.85888,  42.85888,   0.36302,   5.76739,  21.99117
2100050505,   0.26370,  41.83655,  41.83654,   0.33176,   5.46295,  21.46660
2100050506,   0.24180,  40.80476,  40.80473,   0.30363,   5.16607,  20.93718
2100050507,   0.22220,  39.76582,  39.76578,   0.27835,   4.87829,  20.40409
2100050508,   0.20470,  38.72221,  38.72215,   0.25571,   4.60083,  19.86859
2100050509,   0.19880,  37.67725,  37.67718,   0.24060,   4.33870,  19.33241
2100050510,   0.26210,  36.64043,  36.64036,   0.26611,   4.12292,  18.80041
2100050511,   0.60610,  35.64753,  35.64746,   0.46172,   4.08519,  18.29095
2100050512,   0.95530,  34.74407,  34.74399,   0.75012,   4.28224,  17.82737
2100050513,   1.24980,  33.97187,  33.97179,   1.05869,   4.70702,  17.43115
2100050514,   1.31620,  33.34818,  33.34809,   1.25719,   5.24882,  17.11113
2100050515,   1.35450,  32.87512,  32.87505,   1.38254,   5.83748,  16.86840
2100050516,   1.34440,  32.54332,  32.54326,   1.44355,   6.41682,  16.69816
2100050517,   1.27560,  32.33344,  32.33338,   1.43943,   6.93558,  16.59047
2100050518,   1.19380,  32.22158,  32.22153,   1.39394,   7.36660,  16.53308
2100050519,   1.10990,  32.18306,  32.18302,   1.32545,   7.70013,  16.51332
2100050520,   0.97880,  32.19032,  32.19029,   1.21979,   7.91605,  16.51705
2100050521,   0.87400,  32.21863,  32.21860,   1.10838,   8.02135,  16.53158
2100050522,   0.78390,  32.24744,  32.24742,   1.00171,   8.03079,  16.54637
2100050523,   0.70490,  32.26055,  32.26054,   0.90342,   7.96055,  16.55309
2100050524,   0.63810,  32.24592,  32.24591,   0.81603,   7.82724,  16.54559
2100050601,   0.62570,  32.19901,  32.19900,   0.76320,   7.66479,  16.52152
2100050602,   0.55710,  32.11422,  32.11422,   0.69892,   7.46690,  16.47802
2100050603,   0.49840,  31.98682,  31.98682,   0.63382,   7.23642,  16.41265
2100050604,   0.44760,  31.81358,  31.81357,   0.57247,   6.97958,  16.32375
2100050605,   0.40340,  31.59282,  31.59281,   0.51659,   6.70336,  16.21048
2100050606,   0.36470,  31.32433,  31.32431,   0.46653,   6.41435,  16.07271
2100050607,   0.35990,  31.01155,  31.01153,   0.43748,   6.13064,  15.91222
2100050608,   0.48350,  30.67053,  30.67050,   0.48754,   5.91508,  15.73724
2100050609,   0.70420,  30.33034,  30.33031,   0.63087,   5.83567,  15.56268
2100050610,   0.95510,  30.02651,  30.02647,   0.83956,   5.93130,  15.40678
2100050611,   1.20840,  29.79511,  29.79507,   1.08412,   6.21340,  15.28805
2100050612,   1.43430,  29.66742,  29.66738,   1.33317,   6.66714,  15.22253
2100050613,   1.63980,  29.66833,  29.66830,   1.57379,   7.26879,  15.22300
2100050614,   1.73970,  29.80870,  29.80868,   1.75405,   7.95536,  15.29503
2100050615,   1.70900,  30.08069,  30.08068,   1.83322,   8.63749,  15.43460
2100050616,   1.61820,  30.46304,  30.46305,   1.82707,   9.24724,  15.63079
2100050617,   1.48140,  30.92570,  30.92572,   1.75139,   9.73607,  15.86819
2100050618,   1.30230,  31.43289,  31.43293,   1.61652,  10.06853,  16.12844
2100050619,   1.15650,  31.95154,  31.95158,   1.46794,  10.24908,  16.39457
2100050620,   1.05030,  32.45549,  32.45554,   1.33307,  10.30372,  16.65315
2100050621,   0.94670,  32.92382,  32.92387,   1.20683,  10.25183,  16.89346
2100050622,   0.86150,  33.34113,  33.34118,   1.09491,  10.11540,  17.10758
2100050623,   0.78340,  33.69633,  33.69638,   0.99431,   9.91187,  17.28983
2100050624,   0.72690,  33.98304,  33.98310,   0.91115,   9.66183,  17.43695
2100050701,   0.77210,  34.20644,  34.20649,   0.89106,   9.42042,  17.55158
2100050702,   0.66890,  34.36390,  34.36395,   0.82579,   9.15059,  17.63237
2100050703,   0.60260,  34.45277,  34.45282,   0.75614,   8.85164,  17.67797
2100050704,   0.53350,  34.47054,  34.47058,   0.68269,   8.52340,  17.68708
2100050705,   0.45190,  34.41395,  34.41399,   0.60061,   8.16186,  17.65804
2100050706,   0.44920,  34.28667,  34.28671,   0.55574,   7.80011,  17.59274
2100050707,   0.57590,  34.10654,  34.10658,   0.59905,   7.50883,  17.50031
2100050708,   0.77870,  33.90325,  33.90327,   0.72933,   7.35073,  17.39600
2100050709,   1.00800,  33.71211,  33.71214,   0.91969,   7.36076,  17.29792
2100050710,   1.31090,  33.57482,  33.57484,   1.18080,   7.57898,  17.22747
2100050711,   1.63110,  33.53441,  33.53443,   1.48852,   8.02217,  17.20674
2100050712,   1.85320,  33.62281,  33.62284,   1.76900,   8.64623,  17.25210
2100050713,   2.01540,  33.85923,  33.85926,   2.00333,   9.39633,  17.37341
2100050714,   2.03950,  34.24351,  34.24354,   2.14014,  10.18187,  17.57059
2100050715,   1.89270,  34.75163,  34.75168,   2.13485,  10.88551,  17.83132
2100050716,   1.83040,  35.35749,  35.35755,   2.09907,  11.49091,  18.14219
2100050717,   1.74790,  36.03386,  36.03393,   2.03646,  11.98629,  18.48925
2100050718,   1.57280,  36.74680,  36.74689,   1.91062,  12.33187,  18.85507
2100050719,   1.39000,  37.46095,  37.46104,   1.74724,  12.51240,  19.22151
2100050720,   1.18850,  38.14118,  38.14128,   1.55408,  12.52033,  19.57055
2100050721,   1.04280,  38.75983,  38.75993,   1.37470,  12.38376,  19.88798
2100050722,   0.91820,  39.29649,  39.29660,   1.21378,  12.13178,  20.16335
2100050723,   0.79850,  39.73613,  39.73625,   1.06524,  11.78571,  20.38893
2100050724,   0.70390,  40.06959,  40.06969,   0.93652,  11.37073,  20.56002
2100050801,   0.66800,  40.29628,  40.29638,   0.84938,  10.92697,  20.67634
2100050802,   0.60640,  40.41763,  40.41771,   0.77064,  10.46400,  20.73860
2100050803,   0.54490,  40.43608,  40.43616,   0.69640,   9.98733,  20.74806
2100050804,   0.49800,  40.35590,  40.35596,   0.63228,   9.50641,  20.70691
2100050805,   0.47660,  40.18427,  40.18433,   0.58700,   9.03677,  20.61884
2100050806,   0.51850,  39.93491,  39.93495,   0.58522,   8.61214,  20.49089
2100050807,   0.64230,  39.63070,  39.63074,   0.64981,   8.28123,  20.33479
2100050808,   0.76920,  39.29756,  39.29758,   0.75117,   8.06426,  20.16385
2100050809,   0.76400,  38.94954,  38.94955,   0.80208,   7.90952,  19.98527
2100050810,   0.87140,  38.60415,  38.60415,   0.88588,   7.83722,  19.80804
2100050811,   0.91290,  38.27349,  38.27349,   0.95222,   7.82521,  19.63838
2100050812,   2.93160,  38.13677,  38.13676,   2.05596,   8.69865,  19.56822
2100050813,   1.88450,  38.17165,  38.17165,   2.08595,   9.50975,  19.58612
2100050814,   2.93660,  38.44656,  38.44657,   2.65877,  10.69958,  19.72719
2100050815,   1.93180,  38.88842,  38.88844,   2.43009,  11.58856,  19.95392
2100050816,   1.04440,  39.37490,  39.37493,   1.83928,  11.91632,  20.20354
2100050817,   0.94450,  39.83767,  39.83771,   1.47364,  11.91874,  20.44099
2100050818,   0.86510,  40.23951,  40.23956,   1.23805,  11.73217,  20.64718
2100050819,   0.77770,  40.55937,  40.55941,   1.06707,  11.42708,  20.81130
2100050820,   0.69950,  40.78597,  40.78602,   0.93516,  11.04647,  20.92758
2100050821,   0.62110,  40.91349,  40.91353,   0.82383,  10.61430,  20.99301
2100050822,   0.52950,  40.93805,  40.93809,   0.71641,  10.13880,  21.00560
2100050823,   0.45780,  40.85888,  40.85891,   0.62159,   9.63434,  20.96498
2100050824,   0.39960,  40.67809,  40.67812,   0.54058,   9.11487,  20.87221
2100050901,   0.37300,  40.40192,  40.40194,   0.48362,   8.60112,  20.73050
2100050902,   0.32410,  40.03629,  40.03630,   0.42758,   8.09326,  20.54289
2100050903,   0.28440,  39.58762,  39.58762,   0.37690,   7.59502,  20.31267
2100050904,   0.25120,  39.06281,  39.06280,   0.33249,   7.11047,  20.04338
2100050905,   0.22320,  38.46915,  38.46912,   0.29417,   6.64311,  19.73876
2100050906,   0.19950,  37.81411,  37.81406,   0.26133,   6.19566,  19.40265
2100050907,   0.20990,  37.10780,  37.10774,   0.24945,   5.78294,  19.04023
2100050908,   0.46020,  36.38160,  36.38153,   0.37567,   5.51213,  18.66760
2100050909,   0.82710,  35.68444,  35.68436,   0.63670,   5.47723,  18.30988
2100050910,   1.23260,  35.07301,  35.07292,   0.98955,   5.72847,  17.99615
2100050911,   1.40840,  34.58355,  34.58347,   1.26939,   6.17906,  17.74501
2100050912,   1.51760,  34.23448,  34.23439,   1.47534,   6.75009,  17.56590
2100050913,   1.89960,  34.05799,  34.05792,   1.78658,   7.51401,  17.47534
2100050914,   2.00000,  34.06563,  34.06557,   2.00449,   8.37699,  17.47927
2100050915,   1.99620,  34.24936,  34.24931,   2.11783,   9.24544,  17.57355
2100050916,   1.87120,  34.58195,  34.58191,   2.11166,  10.02308,  17.74421
2100050917,   1.67500,  35.02295,  35.02293,   2.00453,  10.63801,  17.97050
2100050918,   1.51960,  35.53197,  35.53197,   1.86555,  11.08080,  18.23169
2100050919,   1.23410,  36.06017,  36.06018,   1.64085,  11.29979,  18.50272
2100050920,   1.04240,  36.56631,  36.56633,   1.42042,  11.32053,  18.76242
2100050921,   0.91210,  37.02084,  37.02087,   1.23476,  11.19048,  18.99565
2100050922,   0.77620,  37.40124,  37.40126,   1.06453,  10.93691,  19.19084
2100050923,   0.66500,  37.69203,  37.69205,   0.91556,  10.58906,  19.34004
2100050924,   0.57960,  37.88446,  37.88448,   0.79149,  10.17620,  19.43878
2100051001,   0.55730,  37.97911,  37.97913,   0.71400,   9.74208,  19.48734
2100051002,   0.47860,  37.97610,  37.97612,   0.63132,   9.28465,  19.48580
2100051003,   0.41420,  37.87682,  37.87683,   0.55346,   8.81007,  19.43485
2100051004,   0.36080,  37.68427,  37.68427,   0.48398,   8.32675,  19.33605
2100051005,   0.31630,  37.40297,  37.40297,   0.42364,   7.84287,  19.19171
2100051006,   0.27890,  37.03865,  37.03864,   0.37190,   7.36538,  19.00477
2100051007,   0.28320,  36.60094,  36.60092,   0.34679,   6.91498,  18.78017
2100051008,   0.56960,  36.12506,  36.12502,   0.48511,   6.61993,  18.53599
2100051009,   1.05870,  35.67289,  35.67284,   0.81724,   6.62014,  18.30397
2100051010,   1.52640,  35.31218,  35.31213,   1.24064,   6.95953,  18.11889
2100051011,   1.90070,  35.10029,  35.10025,   1.66292,   7.60368,  18.01017
2100051012,   2.19620,  35.07875,  35.07871,   2.04289,   8.48855,  17.99912
2100051013,   2.21840,  35.25496,  35.25492,   2.25578,   9.45649,  18.08953
2100051014,   2.25160,  35.62083,  35.62082,   2.38606,  10.43310,  18.27728
2100051015,   2.09820,  36.14533,  36.14533,   2.37381,  11.30334,  18.54641
2100051016,   1.97650,  36.79153,  36.79154,   2.30291,  12.03074,  18.87799
2100051017,   1.87830,  37.52420,  37.52423,   2.21339,  12.61450,  19.25393
2100051018,   1.64230,  38.29926,  38.29930,   2.04107,  13.00249,  19.65162
2100051019,   1.35820,  39.06746,  39.06752,   1.79946,  13.15855,  20.04580
2100051020,   1.07730,  39.78099,  39.78106,   1.52286,  13.07758,  20.41193
2100051021,   0.96840,  40.41098,  40.41106,   1.31879,  12.84112,  20.73518
2100051022,   0.80630,  40.93478,  40.93486,   1.12495,  12.47275,  21.00395
2100051023,   0.67610,  41.33715,  41.33723,   0.95342,  12.00338,  21.21040
2100051024,   0.62370,  41.61425,  41.61433,   0.83487,  11.48545,  21.35259
2100051101,   0.70120,  41.77920,  41.77928,   0.81314,  11.00131,  21.43722
2100051102,   0.59710,  41.83645,  41.83652,   0.74654,  10.51168,  21.46659
2100051103,   0.53630,  41.79022,  41.79028,   0.67909,  10.01643,  21.44287
2100051104,   0.44710,  41.64212,  41.64216,   0.59617,   9.50370,  21.36687
2100051105,   0.70910,  41.42292,  41.42296,   0.69096,   9.11762,  21.25440
2100051106,   1.01610,  41.17858,  41.17860,   0.90366,   8.94012,  21.12901
2100051107,   1.31840,  40.95825,  40.95828,   1.17628,   8.99857,  21.01596
2100051108,   1.49730,  40.79851,  40.79853,   1.41531,   9.24274,  20.93399
2100051109,   1.64240,  40.72452,  40.72454,   1.61865,   9.62567,  20.89603
2100051110,   1.82540,  40.75762,  40.75764,   1.82316,  10.13459,  20.91301
2100051111,   2.24090,  40.93569,  40.93570,   2.15138,  10.85614,  21.00438
2100051112,   2.34600,  41.27435,  41.27438,   2.38076,  11.69012,  21.17816
2100051113,   2.42770,  41.77568,  41.77571,   2.54544,  12.57358,  21.43539
2100051114,   2.43500,  42.42863,  42.42869,   2.63647,  13.44262,  21.77044
2100051115,   2.36460,  43.21001,  43.21008,   2.64740,  14.23449,  22.17138
2100051116,   2.45880,  44.10656,  44.10665,   2.70305,  14.99265,  22.63141
2100051117,   2.15720,  45.07614,  45.07624,   2.57285,  15.57154,  23.12891
2100051118,   1.95720,  46.07502,  46.07513,   2.39806,  15.95316,  23.64145
2100051119,   1.69480,  47.05640,  47.05653,   2.16662,  16.11163,  24.14501
2100051120,   1.85700,  48.01200,  48.01214,   2.12997,  16.22507,  24.63534
2100051121,   1.71590,  48.92553,  48.92566,   2.03587,  16.25191,  25.10408
2100051122,   1.80220,  49.79783,  49.79797,   2.03175,  16.27279,  25.55167
2100051123,   1.81970,  50.63171,  50.63186,   2.03883,  16.29728,  25.97954
2100051124,   1.90230,  51.57198,  51.57076,   2.08630,  16.35377,  26.39240
2100051201,   2.57370,  55.20391,  55.20300,   2.46685,  16.63445,  26.82180
2100051202,   2.29650,  58.39087,  58.39016,   2.52155,  16.86857,  27.26078
2100051203,   2.86290,  63.02728,  63.02673,   2.85035,  17.24282,  27.72738
2100051204,   2.63290,  66.94725,  66.94684,   2.90265,  17.54194,  28.21030
2100051205,   1.56140,  66.53018,  66.52976,   2.36312,  17.41358,  28.65222
2100051206,   2.40310,  67.44917,  67.44878,   2.52307,  17.42343,  29.07346
2100051207,   4.75600,  76.89032,  76.89016,   3.85330,  18.27118,  29.58578
2100051208,   4.62660,  88.10114,  88.10117,   4.48897,  19.27564,  30.20535
2100051209,   4.45840,  98.14201,  98.14217,   4.73644,  20.14613,  30.90914
2100051210,   4.58250, 107.03805, 107.03825,   4.93313,  20.88929,  31.67612
2100051211,   7.08370, 123.07831, 123.07869,   6.36130,  22.32029,  32.59406
2100051212,   6.02590, 136.43791, 136.43837,   6.55737,  23.46152,  33.61716
2100051213,   9.67240, 159.75648, 159.75722,   8.59149,  25.55849,  34.86647
2100051214,   8.88520, 181.56319, 181.56407,   9.25157,  27.46646,  36.30579
2100051215,   9.65910, 202.98843, 202.98941,  10.01067,  29.30265,  37.91615
2100051216,  10.82190, 225.87698, 225.87805,  11.02806,  31.25106,  39.70389
2100051217,  10.46060, 245.58223, 245.58330,  11.37537,  32.85573,  41.61475
2100051218,  12.56190, 269.14618, 269.14731,  12.67158,  34.81577,  43.68957
2100051219,   8.40340, 277.44098, 277.44177,  11.15639,  35.25153,  45.71875
2100051220,   5.34410, 268.72742, 268.72763,   8.73480,  34.03078,  47.48563
2100051221,   6.27750, 258.04633, 258.04617,   7.94701,  32.66501,  48.98412
2100051222,   6.05740, 247.45645, 247.45605,   7.41346,  31.35684,  50.23516
2100051223,   4.97670, 234.75398, 234.75337,   6.55893,  29.88674,  51.22968
2100051224,   0.89780, 209.05453, 209.05350,   3.94734,  27.19100,  51.81845
2100051301,   1.40000, 183.35477, 183.35349,   2.83070,  24.56878,  52.03139
2100051302,   1.77540, 162.16966, 162.16832,   2.43832,  22.45660,  51.95459
2100051303,   0.92000, 142.42088, 142.41951,   1.77778,  20.53754,  51.62800
