 Optimized Parameter
a1 = ,       0.143042
a2 = ,       0.130756
a3 = ,       0.107708
a4 = ,       0.009635
b1 = ,       0.082909
b2 = ,       0.044447
z1 = ,      47.891003
z2 = ,      58.731998
z3 = ,       4.241359
s1 = ,       2.155989
s2 = ,      15.021837
s3 = ,      36.030895
Er = ,  126894.093750
NS = ,       0.915985

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s)
  143,   0.04240,   2.45000,   5.76548
  144,   0.04230,   2.45000,   5.72604
  145,   0.04230,   0.00000,   5.68695
  146,   0.04230,   2.99000,   5.64819
  147,   0.04230,   2.34000,   5.60978
  148,   0.04230,   2.29000,   5.57171
  149,   0.04220,   0.00000,   5.53396
  150,   0.04220,   2.69000,   5.49656
  151,   0.04220,   2.34000,   5.45948
  152,   0.04220,   2.20000,   5.42273
  153,   0.04220,   2.29000,   5.38630
  154,   0.04220,   2.03000,   5.35020
  155,   0.04210,   2.56000,   5.31442
  156,   0.04210,   1.36000,   5.27896
  157,   0.04210,   2.28000,   5.24382
  158,   0.04210,   3.99000,   5.20899
  159,   0.04210,   2.76000,   5.17447
  160,   0.04210,   2.20000,   5.14027
  161,   0.04210,   2.39000,   5.10637
  162,   0.04210,   2.39000,   5.07277
  163,   0.04200,   0.21000,   5.03948
  164,   0.04200,   0.00000,   5.00649
  165,   0.04200,   2.50000,   4.97381
  166,   0.04200,   2.34000,   4.94141
  167,   0.04200,   2.34000,   4.90931
  168,   0.04200,   2.45000,   4.87750
  169,   0.04200,   0.00000,   4.84598
  170,   0.04200,   2.25000,   4.81475
  171,   0.04200,   0.81000,   4.78381
  172,   0.04200,   0.00000,   4.75314
  173,   0.04190,   0.00000,   4.72276
  174,   0.04190,   0.00000,   4.69266
  175,   0.04190,   2.56000,   4.66283
  176,   0.04190,   4.27000,   4.63327
  177,   0.04190,   0.00000,   4.60399
  178,   0.04190,   2.41000,   4.57498
  179,   0.04190,   0.00000,   4.54623
  180,   0.04190,  10.38000,   4.51775
  181,   0.04190,   0.00000,   4.48953
  182,   0.04190,   2.45000,   4.46157
  183,   0.04220,   2.20000,   4.43387
  184,   0.04320,   0.00000,   4.40643
  185,   0.04310,   2.63000,   4.37925
  186,   0.04310,   0.00000,   4.35232
  187,   0.04300,   1.55000,   4.32565
  188,   0.04300,   0.00000,   4.29924
  189,   0.04300,   2.31000,   4.27307
  190,   0.04290,   0.00000,   4.24716
  191,   0.04290,   0.00000,   4.22149
  192,   0.04280,   2.88000,   4.19608
  193,   0.04280,   0.00000,   4.17091
  194,   0.04270,   0.63000,   4.14598
  195,   0.04270,   0.00000,   4.12129
  196,   0.04270,   1.63000,   4.09684
  197,   0.04260,   4.94000,   4.07262
  198,   0.04260,   0.00000,   4.04864
  199,   0.04260,   0.00000,   4.02490
  200,   0.04250,   3.05000,   4.00138
  201,   0.04250,   3.05000,   3.97808
  202,   0.04250,   0.00000,   3.95502
  203,   0.04250,   0.00000,   3.93217
  204,   0.04240,   0.77000,   3.90955
  205,   0.04240,   1.28000,   3.88714
  206,   0.04280,   0.00000,   3.86495
  207,   0.04670,   2.81000,   3.84298
  208,   0.05120,   2.41000,   3.82123
  209,   0.05080,   0.00000,   3.79972
  210,   0.05040,   0.00000,   3.77845
  211,   0.05010,   1.42000,   3.75742
  212,   0.04970,   0.00000,   3.73664
  213,   0.04940,   0.00000,   3.71611
  214,   0.04910,   2.73000,   3.69581
  215,   0.04880,   2.26000,   3.67577
  216,   0.04850,   2.21000,   3.65596
  217,   0.04830,   2.41000,   3.63640
  218,   0.04800,   2.36000,   3.61708
  219,   0.04780,   0.00000,   3.59799
  220,   0.04750,   0.00000,   3.57913
  221,   0.04730,   0.00000,   3.56050
  222,   0.04710,   0.00000,   3.54209
  223,   0.04690,   3.58000,   3.52390
  224,   0.04670,   3.15000,   3.50593
  225,   0.04650,   0.00000,   3.48816
  226,   0.04630,   0.86000,   3.47061
  227,   0.05610,   0.46000,   3.45326
  228,   0.23740,   1.60000,   3.43638
  229,   0.09420,   3.24000,   3.41999
  230,   0.11710,   0.00000,   3.40412
  231,   0.13290,   3.46000,   3.38885
  232,   0.13810,   3.35000,   3.37424
  233,   0.13490,   0.00000,   3.36032
  234,   0.13060,   0.00000,   3.34712
  235,   0.13080,  11.41000,   3.33467
  236,   0.12270,   0.48000,   3.32297
  237,   0.11910,   0.00000,   3.31202
  238,   0.11560,   4.33000,   3.30180
  239,   0.11230,   1.98000,   3.29231
  240,   0.10920,   1.56000,   3.28352
  241,   0.11060,   3.90000,   3.27540
  242,   0.10740,   1.33000,   3.26794
  243,   0.10430,   2.19000,   3.26111
  244,   0.38240,   4.21000,   3.25524
  245,   0.21690,  11.39000,   3.25041
  246,   0.09600,   2.73000,   3.24651
  247,   0.09350,  12.10000,   3.24346
  248,   0.22780,   5.60000,   3.24133
  249,   0.24560,   0.00000,   3.24023
  250,   0.23000,   3.48000,   3.24021
  251,   0.27000,   4.38000,   3.24137
  252,   0.91260,   1.84000,   3.24465
  253,   2.35310,   0.00000,   3.25274
  254,   1.31090,   4.23000,   3.26658
  255,   1.31920,   6.30000,   3.28698
  256,   0.77440,   6.72000,   3.31388
  257,   0.58590,   6.30000,   3.34694
  258,   1.56410,   7.20000,   4.60361
  259,   1.38130,   8.40000,   6.55551
  260,   0.29780,  10.08000,   8.08613
  261,   0.28550,  10.08000,   9.26619
  262,   0.27390,  10.08000,  10.15531
  263,   0.26290,  10.38000,  10.80373
  264,   0.25240,   1.53000,  11.25367
  265,   0.24980,  10.64000,  11.54309
  266,   0.23990,  11.47000,  11.70108
  267,   0.23050,  11.12000,  11.75208
  268,   0.22160,  11.80000,  11.71659
  269,   0.21310,  10.62000,  11.61176
  270,   0.20510,  11.41000,  11.45195
  271,   0.19760,  10.38000,  11.24918
  272,   0.19040,  15.51000,  11.01341
  273,   0.18780,   9.44000,  10.75434
  274,   0.19820,  11.67000,  10.48413
  275,   0.41810,  11.45000,  10.28230
  276,   0.45030,  11.60000,  10.14748
  277,   0.73000,  10.08000,  10.16037
  278,   0.46490,  11.72000,  10.20042
  279,   0.49030,  12.35000,  10.27014
  280,   0.21230,   2.38000,  10.26987
  281,   0.14160,   8.40000,  10.19185
  282,   0.13710,   8.40000,  10.05298
  283,   0.13290,   2.83000,   9.86729
  284,   0.12890,   9.00000,   9.64633
  285,   0.12500,   9.17000,   9.39955
  286,   0.12140,   0.00000,   9.13472
  287,   0.11790,   7.52000,   8.85814
  288,   0.11460,   7.60000,   8.57492
  289,   0.11750,  11.55000,   8.29118
  290,   0.11400,   3.85000,   8.00953
  291,   0.11060,   7.48000,   7.73204
  292,   0.10750,   7.38000,   7.46032
  293,   0.10450,   7.28000,   7.19562
  294,   0.10160,   6.67000,   6.93882
  295,   0.09890,   5.58000,   6.69058
  296,   0.09630,   6.90000,   6.45132
  297,   0.09390,   9.17000,   6.22135
  298,   0.09150,   2.53000,   6.00075
  299,   0.09200,   2.53000,   5.79045
  300,   0.11620,   0.00000,   5.59895
  301,   0.18250,   7.20000,   5.44670
  302,   0.26000,  10.08000,   5.35293
  303,   0.31860,   5.93000,   5.32565
  304,   0.32740,   5.93000,   5.35370
  305,   0.30760,   5.93000,   5.41816
  306,   0.29410,   2.41000,   5.50596
  307,   0.28150,  11.67000,   5.60689
  308,   0.26950,   1.80000,   5.71305
  309,   0.25820,  10.08000,   5.81843
  310,   0.24760,   5.93000,   5.91859
  311,   0.23750,   4.29000,   6.01031
  312,   0.22790,   4.37000,   6.09131
  313,   0.22010,   4.52000,   6.16056
  314,   0.21150,   2.33000,   6.21714
